Calculating shorest paths...
Calculating shorest paths... done.
N=6474; remotes=10.8146; neighs= 4.2926;
total=1K; failed=18; failrate=0.018000; stretch=7.239307;
N=6474; remotes=10.8146; neighs= 4.2926;
total=2K; failed=31; failrate=0.015500; stretch=7.361097;
N=6474; remotes=10.8146; neighs= 4.2926;
total=3K; failed=48; failrate=0.016000; stretch=7.315718;
N=6474; remotes=10.8146; neighs= 4.2926;
total=4K; failed=68; failrate=0.017000; stretch=7.440488;
N=6474; remotes=10.8146; neighs= 4.2926;
total=5K; failed=81; failrate=0.016200; stretch=7.468794;
N=6474; remotes=10.8146; neighs= 4.2926;
total=6K; failed=92; failrate=0.015333; stretch=7.450237;
N=6474; remotes=10.8146; neighs= 4.2926;
total=7K; failed=106; failrate=0.015143; stretch=7.465332;
N=6474; remotes=10.8146; neighs= 4.2926;
total=8K; failed=113; failrate=0.014125; stretch=7.382528;
N=6474; remotes=10.8146; neighs= 4.2926;
total=9K; failed=125; failrate=0.013889; stretch=7.360000;
N=6474; remotes=10.8146; neighs= 4.2926;
total=10K; failed=137; failrate=0.013700; stretch=7.356687;
N=6474; remotes=10.8146; neighs= 4.2926;
total=11K; failed=162; failrate=0.014727; stretch=7.374239;
N=6474; remotes=10.8146; neighs= 4.2926;
total=12K; failed=170; failrate=0.014167; stretch=7.418850;
N=6474; remotes=10.8146; neighs= 4.2926;
total=13K; failed=179; failrate=0.013769; stretch=7.451291;
N=6474; remotes=10.8146; neighs= 4.2926;
total=14K; failed=203; failrate=0.014500; stretch=7.432703;
N=6474; remotes=10.8146; neighs= 4.2926;
total=15K; failed=217; failrate=0.014467; stretch=7.446459;
N=6474; remotes=10.8146; neighs= 4.2926;
total=16K; failed=232; failrate=0.014500; stretch=7.437468;
N=6474; remotes=10.8146; neighs= 4.2926;
total=17K; failed=253; failrate=0.014882; stretch=7.418702;
N=6474; remotes=10.8146; neighs= 4.2926;
total=18K; failed=266; failrate=0.014778; stretch=7.411131;
N=6474; remotes=10.8146; neighs= 4.2926;
total=19K; failed=274; failrate=0.014421; stretch=7.401955;
N=6474; remotes=10.8146; neighs= 4.2926;
total=20K; failed=293; failrate=0.014650; stretch=7.383519;
N=6474; remotes=10.8146; neighs= 4.2926;
total=21K; failed=308; failrate=0.014667; stretch=7.364585;
N=6474; remotes=10.8146; neighs= 4.2926;
total=22K; failed=325; failrate=0.014773; stretch=7.359031;
N=6474; remotes=10.8146; neighs= 4.2926;
total=23K; failed=341; failrate=0.014826; stretch=7.353678;
N=6474; remotes=10.8146; neighs= 4.2926;
total=24K; failed=350; failrate=0.014583; stretch=7.374123;
N=6474; remotes=10.8146; neighs= 4.2926;
total=25K; failed=358; failrate=0.014320; stretch=7.368355;
N=6474; remotes=10.8146; neighs= 4.2926;
total=26K; failed=373; failrate=0.014346; stretch=7.358255;
N=6474; remotes=10.8146; neighs= 4.2926;
total=27K; failed=387; failrate=0.014333; stretch=7.371548;
N=6474; remotes=10.8146; neighs= 4.2926;
total=28K; failed=408; failrate=0.014571; stretch=7.377935;
N=6474; remotes=10.8146; neighs= 4.2926;
total=29K; failed=422; failrate=0.014552; stretch=7.382812;
N=6474; remotes=10.8146; neighs= 4.2926;
total=30K; failed=435; failrate=0.014500; stretch=7.383020;
N=6474; remotes=10.8146; neighs= 4.2926;
total=31K; failed=447; failrate=0.014419; stretch=7.380879;
N=6474; remotes=10.8146; neighs= 4.2926;
total=32K; failed=462; failrate=0.014438; stretch=7.380049;
N=6474; remotes=10.8146; neighs= 4.2926;
total=33K; failed=482; failrate=0.014606; stretch=7.377791;
N=6474; remotes=10.8146; neighs= 4.2926;
total=34K; failed=490; failrate=0.014412; stretch=7.372635;
N=6474; remotes=10.8146; neighs= 4.2926;
total=35K; failed=505; failrate=0.014429; stretch=7.380664;
N=6474; remotes=10.8146; neighs= 4.2926;
total=36K; failed=521; failrate=0.014472; stretch=7.370670;
N=6474; remotes=10.8146; neighs= 4.2926;
total=37K; failed=533; failrate=0.014405; stretch=7.377985;
N=6474; remotes=10.8146; neighs= 4.2926;
total=38K; failed=543; failrate=0.014289; stretch=7.378727;
N=6474; remotes=10.8146; neighs= 4.2926;
total=39K; failed=553; failrate=0.014179; stretch=7.380992;
N=6474; remotes=10.8146; neighs= 4.2926;
total=40K; failed=562; failrate=0.014050; stretch=7.384604;
N=6474; remotes=10.8146; neighs= 4.2926;
total=41K; failed=577; failrate=0.014073; stretch=7.376914;
N=6474; remotes=10.8146; neighs= 4.2926;
total=42K; failed=594; failrate=0.014143; stretch=7.384461;
N=6474; remotes=10.8146; neighs= 4.2926;
total=43K; failed=605; failrate=0.014070; stretch=7.377356;
N=6474; remotes=10.8146; neighs= 4.2926;
total=44K; failed=620; failrate=0.014091; stretch=7.382089;
N=6474; remotes=10.8146; neighs= 4.2926;
total=45K; failed=635; failrate=0.014111; stretch=7.386769;
N=6474; remotes=10.8146; neighs= 4.2926;
total=46K; failed=654; failrate=0.014217; stretch=7.381555;
N=6474; remotes=10.8146; neighs= 4.2926;
total=47K; failed=669; failrate=0.014234; stretch=7.380415;
N=6474; remotes=10.8146; neighs= 4.2926;
total=48K; failed=681; failrate=0.014187; stretch=7.380566;
N=6474; remotes=10.8146; neighs= 4.2926;
total=49K; failed=700; failrate=0.014286; stretch=7.371263;
N=6474; remotes=10.8146; neighs= 4.2926;
total=50K; failed=710; failrate=0.014200; stretch=7.365632;
N=6474; remotes=10.8146; neighs= 4.2926;
total=51K; failed=726; failrate=0.014235; stretch=7.359191;
N=6474; remotes=10.8146; neighs= 4.2926;
total=52K; failed=730; failrate=0.014038; stretch=7.364970;
N=6474; remotes=10.8146; neighs= 4.2926;
total=53K; failed=736; failrate=0.013887; stretch=7.361032;
N=6474; remotes=10.8146; neighs= 4.2926;
total=54K; failed=745; failrate=0.013796; stretch=7.360492;
N=6474; remotes=10.8146; neighs= 4.2926;
total=55K; failed=751; failrate=0.013655; stretch=7.366237;
N=6474; remotes=10.8146; neighs= 4.2926;
total=56K; failed=764; failrate=0.013643; stretch=7.359367;
N=6474; remotes=10.8146; neighs= 4.2926;
total=57K; failed=773; failrate=0.013561; stretch=7.369733;
N=6474; remotes=10.8146; neighs= 4.2926;
total=58K; failed=788; failrate=0.013586; stretch=7.376862;
N=6474; remotes=10.8146; neighs= 4.2926;
total=59K; failed=798; failrate=0.013525; stretch=7.381035;
N=6474; remotes=10.8146; neighs= 4.2926;
total=60K; failed=815; failrate=0.013583; stretch=7.383205;
N=6474; remotes=10.8146; neighs= 4.2926;
total=61K; failed=830; failrate=0.013607; stretch=7.384195;
N=6474; remotes=10.8146; neighs= 4.2926;
total=62K; failed=842; failrate=0.013581; stretch=7.378495;
N=6474; remotes=10.8146; neighs= 4.2926;
total=63K; failed=858; failrate=0.013619; stretch=7.376863;
N=6474; remotes=10.8146; neighs= 4.2926;
total=64K; failed=866; failrate=0.013531; stretch=7.376327;
N=6474; remotes=10.8146; neighs= 4.2926;
total=65K; failed=881; failrate=0.013554; stretch=7.377361;
N=6474; remotes=10.8146; neighs= 4.2926;
total=66K; failed=890; failrate=0.013485; stretch=7.379634;
N=6474; remotes=10.8146; neighs= 4.2926;
total=67K; failed=902; failrate=0.013463; stretch=7.376547;
N=6474; remotes=10.8146; neighs= 4.2926;
total=68K; failed=922; failrate=0.013559; stretch=7.381511;
N=6474; remotes=10.8146; neighs= 4.2926;
total=69K; failed=933; failrate=0.013522; stretch=7.376173;
N=6474; remotes=10.8146; neighs= 4.2926;
total=70K; failed=949; failrate=0.013557; stretch=7.374897;
N=6474; remotes=10.8146; neighs= 4.2926;
total=71K; failed=962; failrate=0.013549; stretch=7.372712;
N=6474; remotes=10.8146; neighs= 4.2926;
total=72K; failed=974; failrate=0.013528; stretch=7.376073;
N=6474; remotes=10.8146; neighs= 4.2926;
total=73K; failed=991; failrate=0.013575; stretch=7.374634;
N=6474; remotes=10.8146; neighs= 4.2926;
total=74K; failed=997; failrate=0.013473; stretch=7.381669;
N=6474; remotes=10.8146; neighs= 4.2926;
total=75K; failed=1013; failrate=0.013507; stretch=7.384824;
N=6474; remotes=10.8146; neighs= 4.2926;
total=76K; failed=1036; failrate=0.013632; stretch=7.389147;
N=6474; remotes=10.8146; neighs= 4.2926;
total=77K; failed=1047; failrate=0.013597; stretch=7.383145;
N=6474; remotes=10.8146; neighs= 4.2926;
total=78K; failed=1066; failrate=0.013667; stretch=7.389853;
N=6474; remotes=10.8146; neighs= 4.2926;
total=79K; failed=1072; failrate=0.013570; stretch=7.394582;
N=6474; remotes=10.8146; neighs= 4.2926;
total=80K; failed=1085; failrate=0.013562; stretch=7.401090;
N=6474; remotes=10.8146; neighs= 4.2926;
total=81K; faile
