Calculating shorest paths...
Calculating shorest paths... done.
N=6474; remotes=10.8146; neighs= 4.2926;
total=1K; failed=8; failrate=0.008000; stretch=3.266129;
N=6474; remotes=10.8146; neighs= 4.2926;
total=2K; failed=12; failrate=0.006000; stretch=3.234406;
N=6474; remotes=10.8146; neighs= 4.2926;
total=3K; failed=26; failrate=0.008667; stretch=3.180901;
N=6474; remotes=10.8146; neighs= 4.2926;
total=4K; failed=41; failrate=0.010250; stretch=3.259914;
N=6474; remotes=10.8146; neighs= 4.2926;
total=5K; failed=52; failrate=0.010400; stretch=3.277486;
N=6474; remotes=10.8146; neighs= 4.2926;
total=6K; failed=58; failrate=0.009667; stretch=3.255638;
N=6474; remotes=10.8146; neighs= 4.2926;
total=7K; failed=62; failrate=0.008857; stretch=3.240992;
N=6474; remotes=10.8146; neighs= 4.2926;
total=8K; failed=69; failrate=0.008625; stretch=3.231245;
N=6474; remotes=10.8146; neighs= 4.2926;
total=9K; failed=81; failrate=0.009000; stretch=3.235789;
N=6474; remotes=10.8146; neighs= 4.2926;
total=10K; failed=87; failrate=0.008700; stretch=3.239685;
N=6474; remotes=10.8146; neighs= 4.2926;
total=11K; failed=103; failrate=0.009364; stretch=3.241718;
N=6474; remotes=10.8146; neighs= 4.2926;
total=12K; failed=110; failrate=0.009167; stretch=3.238604;
N=6474; remotes=10.8146; neighs= 4.2926;
total=13K; failed=115; failrate=0.008846; stretch=3.243850;
N=6474; remotes=10.8146; neighs= 4.2926;
total=14K; failed=125; failrate=0.008929; stretch=3.241946;
N=6474; remotes=10.8146; neighs= 4.2926;
total=15K; failed=131; failrate=0.008733; stretch=3.246553;
N=6474; remotes=10.8146; neighs= 4.2926;
total=16K; failed=139; failrate=0.008687; stretch=3.258622;
N=6474; remotes=10.8146; neighs= 4.2926;
total=17K; failed=152; failrate=0.008941; stretch=3.259081;
N=6474; remotes=10.8146; neighs= 4.2926;
total=18K; failed=160; failrate=0.008889; stretch=3.261043;
N=6474; remotes=10.8146; neighs= 4.2926;
total=19K; failed=166; failrate=0.008737; stretch=3.261654;
N=6474; remotes=10.8146; neighs= 4.2926;
total=20K; failed=171; failrate=0.008550; stretch=3.249584;
N=6474; remotes=10.8146; neighs= 4.2926;
total=21K; failed=189; failrate=0.009000; stretch=3.238816;
N=6474; remotes=10.8146; neighs= 4.2926;
total=22K; failed=203; failrate=0.009227; stretch=3.233473;
N=6474; remotes=10.8146; neighs= 4.2926;
total=23K; failed=216; failrate=0.009391; stretch=3.237403;
N=6474; remotes=10.8146; neighs= 4.2926;
total=24K; failed=227; failrate=0.009458; stretch=3.239305;
N=6474; remotes=10.8146; neighs= 4.2926;
total=25K; failed=231; failrate=0.009240; stretch=3.238322;
N=6474; remotes=10.8146; neighs= 4.2926;
total=26K; failed=243; failrate=0.009346; stretch=3.239974;
N=6474; remotes=10.8146; neighs= 4.2926;
total=27K; failed=250; failrate=0.009259; stretch=3.242841;
N=6474; remotes=10.8146; neighs= 4.2926;
total=28K; failed=260; failrate=0.009286; stretch=3.247945;
N=6474; remotes=10.8146; neighs= 4.2926;
total=29K; failed=272; failrate=0.009379; stretch=3.248608;
N=6474; remotes=10.8146; neighs= 4.2926;
total=30K; failed=278; failrate=0.009267; stretch=3.252675;
N=6474; remotes=10.8146; neighs= 4.2926;
total=31K; failed=281; failrate=0.009065; stretch=3.247241;
N=6474; remotes=10.8146; neighs= 4.2926;
total=32K; failed=289; failrate=0.009031; stretch=3.249598;
N=6474; remotes=10.8146; neighs= 4.2926;
total=33K; failed=300; failrate=0.009091; stretch=3.249725;
N=6474; remotes=10.8146; neighs= 4.2926;
total=34K; failed=311; failrate=0.009147; stretch=3.248657;
N=6474; remotes=10.8146; neighs= 4.2926;
total=35K; failed=322; failrate=0.009200; stretch=3.245083;
N=6474; remotes=10.8146; neighs= 4.2926;
total=36K; failed=328; failrate=0.009111; stretch=3.246524;
N=6474; remotes=10.8146; neighs= 4.2926;
total=37K; failed=343; failrate=0.009270; stretch=3.248602;
N=6474; remotes=10.8146; neighs= 4.2926;
total=38K; failed=348; failrate=0.009158; stretch=3.251620;
N=6474; remotes=10.8146; neighs= 4.2926;
total=39K; failed=353; failrate=0.009051; stretch=3.249153;
N=6474; remotes=10.8146; neighs= 4.2926;
total=40K; failed=362; failrate=0.009050; stretch=3.250290;
N=6474; remotes=10.8146; neighs= 4.2926;
total=41K; failed=369; failrate=0.009000; stretch=3.250597;
N=6474; remotes=10.8146; neighs= 4.2926;
total=42K; failed=377; failrate=0.008976; stretch=3.253706;
N=6474; remotes=10.8146; neighs= 4.2926;
total=43K; failed=379; failrate=0.008814; stretch=3.255062;
N=6474; remotes=10.8146; neighs= 4.2926;
total=44K; failed=385; failrate=0.008750; stretch=3.256036;
N=6474; remotes=10.8146; neighs= 4.2926;
total=45K; failed=391; failrate=0.008689; stretch=3.254657;
N=6474; remotes=10.8146; neighs= 4.2926;
total=46K; failed=399; failrate=0.008674; stretch=3.251880;
N=6474; remotes=10.8146; neighs= 4.2926;
total=47K; failed=407; failrate=0.008660; stretch=3.253214;
N=6474; remotes=10.8146; neighs= 4.2926;
total=48K; failed=410; failrate=0.008542; stretch=3.253373;
N=6474; remotes=10.8146; neighs= 4.2926;
total=49K; failed=420; failrate=0.008571; stretch=3.252079;
N=6474; remotes=10.8146; neighs= 4.2926;
total=50K; failed=426; failrate=0.008520; stretch=3.249022;
N=6474; remotes=10.8146; neighs= 4.2926;
total=51K; failed=428; failrate=0.008392; stretch=3.249308;
N=6474; remotes=10.8146; neighs= 4.2926;
total=52K; failed=432; failrate=0.008308; stretch=3.253258;
N=6474; remotes=10.8146; neighs= 4.2926;
total=53K; failed=438; failrate=0.008264; stretch=3.250904;
N=6474; remotes=10.8146; neighs= 4.2926;
total=54K; failed=447; failrate=0.008278; stretch=3.250836;
N=6474; remotes=10.8146; neighs= 4.2926;
total=55K; failed=450; failrate=0.008182; stretch=3.253364;
N=6474; remotes=10.8146; neighs= 4.2926;
total=56K; failed=461; failrate=0.008232; stretch=3.251841;
N=6474; remotes=10.8146; neighs= 4.2926;
total=57K; failed=467; failrate=0.008193; stretch=3.250119;
N=6474; remotes=10.8146; neighs= 4.2926;
total=58K; failed=473; failrate=0.008155; stretch=3.254159;
N=6474; remotes=10.8146; neighs= 4.2926;
total=59K; failed=476; failrate=0.008068; stretch=3.252239;
N=6474; remotes=10.8146; neighs= 4.2926;
total=60K; failed=483; failrate=0.008050; stretch=3.252382;
N=6474; remotes=10.8146; neighs= 4.2926;
total=61K; failed=494; failrate=0.008098; stretch=3.255297;
N=6474; remotes=10.8146; neighs= 4.2926;
total=62K; failed=500; failrate=0.008065; stretch=3.252780;
N=6474; remotes=10.8146; neighs= 4.2926;
total=63K; failed=510; failrate=0.008095; stretch=3.253320;
N=6474; remotes=10.8146; neighs= 4.2926;
total=64K; failed=516; failrate=0.008062; stretch=3.252505;
