Calculating shorest paths...
Calculating shorest paths... done.
N=7; remotes=0.0000; neighs= 4.5714;
total=1K; failed=175; failrate=0.175000; stretch=1.016970;
N=7; remotes=0.0000; neighs= 4.5714;
total=2K; failed=329; failrate=0.164500; stretch=1.022741;
N=7; remotes=0.0000; neighs= 4.5714;
total=3K; failed=492; failrate=0.164000; stretch=1.025120;
N=7; remotes=0.0000; neighs= 4.5714;
total=4K; failed=683; failrate=0.170750; stretch=1.025023;
N=7; remotes=0.0000; neighs= 4.5714;
total=5K; failed=838; failrate=0.167600; stretch=1.025709;
N=7; remotes=0.0000; neighs= 4.5714;
total=6K; failed=990; failrate=0.165000; stretch=1.026148;
N=7; remotes=0.0000; neighs= 4.5714;
total=7K; failed=1146; failrate=0.163714; stretch=1.025794;
N=7; remotes=0.0000; neighs= 4.5714;
total=8K; failed=1318; failrate=0.164750; stretch=1.025442;
N=7; remotes=0.0000; neighs= 4.5714;
total=9K; failed=1482; failrate=0.164667; stretch=1.026071;
N=7; remotes=0.0000; neighs= 4.5714;
total=10K; failed=1673; failrate=0.167300; stretch=1.025339;
N=7; remotes=0.0000; neighs= 4.5714;
total=11K; failed=1829; failrate=0.166273; stretch=1.026169;
N=7; remotes=0.0000; neighs= 4.5714;
total=12K; failed=1979; failrate=0.164917; stretch=1.026744;
N=7; remotes=0.0000; neighs= 4.5714;
total=13K; failed=2128; failrate=0.163692; stretch=1.027226;
N=7; remotes=0.0000; neighs= 4.5714;
total=14K; failed=2304; failrate=0.164571; stretch=1.027189;
N=7; remotes=0.0000; neighs= 4.5714;
total=15K; failed=2460; failrate=0.164000; stretch=1.027592;
N=7; remotes=0.0000; neighs= 4.5714;
total=16K; failed=2623; failrate=0.163937; stretch=1.027510;
N=7; remotes=0.0000; neighs= 4.5714;
total=17K; failed=2820; failrate=0.165882; stretch=1.027574;
N=7; remotes=0.0000; neighs= 4.5714;
total=18K; failed=2977; failrate=0.165389; stretch=1.028357;
N=7; remotes=0.0000; neighs= 4.5714;
total=19K; failed=3133; failrate=0.164895; stretch=1.028298;
N=7; remotes=0.0000; neighs= 4.5714;
total=20K; failed=3292; failrate=0.164600; stretch=1.028729;
N=7; remotes=0.0000; neighs= 4.5714;
total=21K; failed=3445; failrate=0.164048; stretch=1.028767;
N=7; remotes=0.0000; neighs= 4.5714;
total=22K; failed=3616; failrate=0.164364; stretch=1.028993;
N=7; remotes=0.0000; neighs= 4.5714;
total=23K; failed=3795; failrate=0.165000; stretch=1.029003;
N=7; remotes=0.0000; neighs= 4.5714;
total=24K; failed=3971; failrate=0.165458; stretch=1.029108;
N=7; remotes=0.0000; neighs= 4.5714;
total=25K; failed=4130; failrate=0.165200; stretch=1.028893;
N=7; remotes=0.0000; neighs= 4.5714;
total=26K; failed=4291; failrate=0.165038; stretch=1.028467;
N=7; remotes=0.0000; neighs= 4.5714;
total=27K; failed=4469; failrate=0.165519; stretch=1.028583;
N=7; remotes=0.0000; neighs= 4.5714;
total=28K; failed=4631; failrate=0.165393; stretch=1.028842;
N=7; remotes=0.0000; neighs= 4.5714;
total=29K; failed=4803; failrate=0.165621; stretch=1.028764;
N=7; remotes=0.0000; neighs= 4.5714;
total=30K; failed=4953; failrate=0.165100; stretch=1.028946;
N=7; remotes=0.0000; neighs= 4.5714;
total=31K; failed=5118; failrate=0.165097; stretch=1.029016;
N=7; remotes=0.0000; neighs= 4.5714;
total=32K; failed=5264; failrate=0.164500; stretch=1.029286;
N=7; remotes=0.0000; neighs= 4.5714;
total=33K; failed=5427; failrate=0.164455; stretch=1.029268;
N=7; remotes=0.0000; neighs= 4.5714;
total=34K; failed=5604; failrate=0.164824; stretch=1.029159;
N=7; remotes=0.0000; neighs= 4.5714;
total=35K; failed=5804; failrate=0.165829; stretch=1.029148;
N=7; remotes=0.0000; neighs= 4.5714;
total=36K; failed=5970; failrate=0.165833; stretch=1.029137;
N=7; remotes=0.0000; neighs= 4.5714;
total=37K; failed=6138; failrate=0.165892; stretch=1.029097;
N=7; remotes=0.0000; neighs= 4.5714;
total=38K; failed=6301; failrate=0.165816; stretch=1.028991;
N=7; remotes=0.0000; neighs= 4.5714;
total=39K; failed=6483; failrate=0.166231; stretch=1.028662;
N=7; remotes=0.0000; neighs= 4.5714;
total=40K; failed=6658; failrate=0.166450; stretch=1.028823;
N=7; remotes=0.0000; neighs= 4.5714;
total=41K; failed=6819; failrate=0.166317; stretch=1.029081;
N=7; remotes=0.0000; neighs= 4.5714;
total=42K; failed=6974; failrate=0.166048; stretch=1.028893;
N=7; remotes=0.0000; neighs= 4.5714;
total=43K; failed=7134; failrate=0.165907; stretch=1.028718;
N=7; remotes=0.0000; neighs= 4.5714;
total=44K; failed=7302; failrate=0.165955; stretch=1.028639;
N=7; remotes=0.0000; neighs= 4.5714;
total=45K; failed=7463; failrate=0.165844; stretch=1.028399;
N=7; remotes=0.0000; neighs= 4.5714;
total=46K; failed=7636; failrate=0.166000; stretch=1.028386;
N=7; remotes=0.0000; neighs= 4.5714;
total=47K; failed=7803; failrate=0.166021; stretch=1.028446;
N=7; remotes=0.0000; neighs= 4.5714;
total=48K; failed=7994; failrate=0.166542; stretch=1.028371;
N=7; remotes=0.0000; neighs= 4.5714;
total=49K; failed=8167; failrate=0.166673; stretch=1.028433;
N=7; remotes=0.0000; neighs= 4.5714;
total=50K; failed=8331; failrate=0.166620; stretch=1.028438;
N=7; remotes=0.0000; neighs= 4.5714;
total=51K; failed=8503; failrate=0.166725; stretch=1.028426;
N=7; remotes=0.0000; neighs= 4.5714;
total=52K; failed=8666; failrate=0.166654; stretch=1.028338;
N=7; remotes=0.0000; neighs= 4.5714;
total=53K; failed=8842; failrate=0.166830; stretch=1.028466;
N=7; remotes=0.0000; neighs= 4.5714;
total=54K; failed=9016; failrate=0.166963; stretch=1.028343;
N=7; remotes=0.0000; neighs= 4.5714;
total=55K; failed=9193; failrate=0.167145; stretch=1.028511;
N=7; remotes=0.0000; neighs= 4.5714;
total=56K; failed=9353; failrate=0.167018; stretch=1.028512;
N=7; remotes=0.0000; neighs= 4.5714;
total=57K; failed=9509; failrate=0.166825; stretch=1.028637;
N=7; remotes=0.0000; neighs= 4.5714;
total=58K; failed=9649; failrate=0.166362; stretch=1.028583;
N=7; remotes=0.0000; neighs= 4.5714;
total=59K; failed=9804; failrate=0.166169; stretch=1.028702;
N=7; remotes=0.0000; neighs= 4.5714;
total=60K; failed=9967; failrate=0.166117; stretch=1.028721;
N=7; remotes=0.0000; neighs= 4.5714;
total=61K; failed=10125; failrate=0.165984; stretch=1.028717;
N=7; remotes=0.0000; neighs= 4.5714;
